c_1_10_52	2	[-160.07846, -272.95398, -104.349, -165.45515, -284.51605]
c_1_10_55	2	[-167.95851, -272.9956, -147.43025, -299.56863, -485.44907]
c_1_10_57	1	[-765.3718, -555.0966, -1251.0056, -3111.8633, -4692.154]
c_1_10_58	2	[-180.52872, -287.73947, -145.99237, -266.9011, -427.7131]
c_1_10_59	0	[-266.48206, -301.03113, -367.86774, -934.73553, -1440.9634]
c_1_10_60	0	[-234.44238, -290.3741, -251.03375, -596.7725, -946.3536]
c_1_10_67	0	[-208.28098, -290.14792, -227.20085, -503.1933, -779.92487]
c_1_10_7	2	[-190.73024, -276.06104, -165.83601, -361.50433, -578.1757]
c_1_10_71	2	[-164.44371, -274.82574, -121.80718, -211.00986, -349.02673]
c_1_10_73	0	[-194.30359, -267.1258, -214.97136, -517.3904, -815.4758]
c_1_10_74	2	[-158.4115, -265.7355, -113.73885, -211.56102, -341.6187]
c_1_10_77	0	[-282.52255, -308.89236, -391.07996, -982.8814, -1514.6105]
c_1_10_78	0	[-181.24126, -272.5269, -186.9348, -424.13788, -633.6564]
c_1_10_82	2	[-140.99342, -258.68497, -81.82979, -119.22676, -205.62453]
c_1_10_83	0	[-284.97504, -334.17786, -365.1819, -859.12067, -1342.9128]
c_1_10_84	2	[-273.67706, -311.35184, -271.10434, -577.8799, -885.3593]
c_1_10_87	1	[-431.86844, -410.41315, -632.22534, -1550.4978, -2390.551]
c_1_10_94	3	[-126.569695, -257.33264, -56.145958, -39.509483, -75.32197]
c_1_10_99	0	[-209.44086, -273.1787, -253.98752, -612.25415, -933.627]
c_1_11_1000	0	[-266.11014, -279.2751, -294.42993, -760.8763, -1162.9427]
c_1_11_1001	2	[-146.28108, -251.60646, -105.56508, -211.65482, -326.91528]
c_1_11_1005	2	[-181.4276, -262.46567, -176.88887, -418.12506, -655.2837]
c_1_11_1007	2	[-220.06274, -306.47586, -185.00684, -406.09686, -641.91345]
c_1_11_1013	2	[-207.2979, -292.45642, -178.72133, -380.58453, -585.6974]
c_1_11_1014	2	[-211.3143, -298.8391, -178.04765, -395.66602, -613.37054]
c_1_11_1015	2	[-193.59319, -288.7641, -178.16826, -372.28622, -561.62476]
c_1_11_1017	2	[-182.09369, -268.61407, -179.63539, -402.56165, -616.48596]
